GeneID;Base.mean;log2.FC.;StdErr;Wald.Stats;P.value;P.adj
9720;78.01438453;2.09942201;0.779772776;2.692350994;0.007095023;0.771391846
7179;3.744460291;4.757010652;1.768240384;2.690251107;0.007139827;0.771391846
388886;125.7549452;-1.427148892;0.53077969;-2.688778263;0.007171404;0.771391846
51421;351.3138174;-1.037271531;0.38433259;-2.69889038;0.006957109;0.771391846
255031;25.40739061;-1.667378599;0.618494633;-2.695865915;0.007020592;0.771391846
154664;128.7663159;1.449499589;0.540034513;2.684086949;0.007272819;0.777905613
230;1039.917646;-1.722220614;0.642696462;-2.679679623;0.007369265;0.783818119
79071;412.1139783;1.80646327;0.674875995;2.676733626;0.007434371;0.78634999
79751;312.6922156;-0.988518456;0.370603134;-2.667323518;0.007645803;0.800646133
55033;255.8923056;0.73610796;0.27600812;2.666979366;0.007653637;0.800646133
9049;604.5047042;-1.644234921;0.617766868;-2.661578349;0.007777524;0.804762369
